,state/ut,district,year,murder,assault on women,kidnapping and abduction,dacoity,robbery,arson,hurt,prevention of atrocities (poa) act,protection of civil rights (pcr) act,other crimes against scs,total_atrocities
566,uttar pradesh,barabanki,2001,4,9,2,0,2,10,13,194,0,175,409
567,uttar pradesh,bareilly,2001,13,16,0,2,4,3,16,207,0,12,273
568,uttar pradesh,basti,2001,3,8,0,0,0,2,1,158,0,0,172
569,uttar pradesh,bijnor,2001,8,5,5,0,0,2,13,13,0,57,103
570,uttar pradesh,bulandshahar,2001,14,4,5,0,2,1,7,132,0,95,260
571,uttar pradesh,chandoli,2001,1,1,0,0,0,0,1,48,9,0,60
572,uttar pradesh,chitrakoot dham,2001,4,1,0,0,0,0,0,39,0,0,44
573,uttar pradesh,deoria,2001,2,0,3,0,0,4,25,58,0,16,108
574,uttar pradesh,etah,2001,14,8,5,1,2,5,24,0,0,116,175
575,uttar pradesh,etawah,2001,5,3,11,0,4,1,18,6,0,70,118
576,uttar pradesh,faizabad,2001,8,6,0,0,0,5,11,52,0,73,155
577,uttar pradesh,fatehgarh,2001,7,2,5,0,0,0,4,54,0,51,123
578,uttar pradesh,fatehpur,2001,11,5,3,0,1,0,17,192,0,41,270
579,uttar pradesh,firozabad,2001,6,2,6,1,2,3,13,30,1,45,109
580,uttar pradesh,g.r.p.,2001,1,0,0,0,1,0,0,5,0,3,10
581,uttar pradesh,gautambudh nagar,2001,3,1,0,0,0,1,2,0,0,43,50
582,uttar pradesh,ghaziabad,2001,13,6,10,0,2,1,7,0,0,50,89
583,uttar pradesh,ghazipur,2001,1,1,2,0,0,1,3,26,0,90,124
584,uttar pradesh,gonda,2001,7,6,0,0,1,9,23,158,0,77,281
585,uttar pradesh,gorakhpur,2001,5,2,4,0,1,2,1,146,0,0,161
586,uttar pradesh,hamirpur,2001,5,6,2,0,0,3,11,53,0,41,121
587,uttar pradesh,hardoi,2001,11,14,5,0,2,6,37,119,0,96,290
588,uttar pradesh,hathras,2001,3,2,2,2,2,3,8,7,0,69,98
589,uttar pradesh,j.p.nagar,2001,10,3,3,1,0,1,2,0,0,61,81
590,uttar pradesh,jalaun,2001,6,1,2,1,3,2,6,6,0,124,151
591,uttar pradesh,jaunpur,2001,3,1,0,0,0,2,10,77,0,30,123
592,uttar pradesh,jhansi,2001,9,5,3,1,0,3,7,82,0,29,139
593,uttar pradesh,kannauj,2001,6,1,2,1,2,3,6,6,0,65,92
594,uttar pradesh,kanpur dehat,2001,2,3,5,0,2,3,7,8,0,81,111
595,uttar pradesh,kanpur nagar,2001,12,11,9,0,5,3,61,120,0,78,299
596,uttar pradesh,kaushambi,2001,6,5,3,0,0,4,22,0,0,102,142
597,uttar pradesh,khiri,2001,16,21,0,0,2,6,62,165,0,49,321
598,uttar pradesh,kushi nagar,2001,2,3,1,0,0,0,0,68,0,62,136
599,uttar pradesh,lalitpur,2001,0,4,0,0,0,0,5,22,0,19,50
600,uttar pradesh,lucknow,2001,11,19,16,1,2,8,24,221,0,128,430
601,uttar pradesh,maharajganj,2001,0,3,0,0,0,0,0,40,0,1,44
602,uttar pradesh,mahoba,2001,5,3,1,0,1,1,5,79,0,10,105
603,uttar pradesh,mainpuri,2001,6,4,6,0,3,5,10,90,0,60,184
